Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Payment_Method
ORD-1001,2023-01-15,CUST-201,Consumer,North,Electronics,Phones,850.50,2,0.05,120.30,Credit Card
ORD-1002,2023-01-16,CUST-202,Corporate,South,Furniture,Chairs,280.00,4,0.10,42.50,Bank Transfer
ORD-1003,2023-01-18,CUST-203,Home Office,East,Office Supplies,Binders,15.20,5,0.00,4.80,PayPal
ORD-1004,2023-01-20,CUST-204,Consumer,West,Technology,Accessories,120.00,3,0.15,18.00,Credit Card
ORD-1005,2023-01-22,CUST-205,Corporate,Central,Furniture,Tables,950.00,2,0.20,-85.00,Credit Card
ORD-1006,2023-01-25,CUST-206,Consumer,North,Office Supplies,Paper,32.00,6,0.00,12.50,Debit Card
ORD-1007,2023-01-28,CUST-207,Home Office,South,Electronics,Laptops,1450.00,1,0.00,320.00,Bank Transfer
ORD-1008,2023-02-02,CUST-208,Consumer,East,Furniture,Bookcases,340.00,2,0.15,22.00,Credit Card
ORD-1009,2023-02-05,CUST-209,Corporate,West,Technology,Monitors,420.00,3,0.10,75.00,Credit Card
ORD-1010,2023-02-09,CUST-210,Consumer,Central,Office Supplies,Storage,88.00,4,0.00,21.00,PayPal
ORD-1011,2023-02-14,CUST-211,Home Office,North,Electronics,Phones,720.00,1,0.05,95.00,Credit Card
ORD-1012,2023-02-18,CUST-212,Consumer,South,Furniture,Furnishings,65.00,5,0.00,15.00,Debit Card
ORD-1013,2023-02-21,CUST-213,Corporate,East,Office Supplies,Art,28.00,3,0.00,8.50,Credit Card
ORD-1014,2023-02-24,CUST-214,Consumer,West,Technology,Accessories,110.00,2,0.10,16.50,Credit Card
ORD-1015,2023-03-01,CUST-215,Corporate,Central,Electronics,Laptops,3200.00,2,0.25,-120.00,Bank Transfer
ORD-1016,2023-03-04,CUST-216,Home Office,North,Furniture,Chairs,410.00,3,0.10,62.00,PayPal
ORD-1017,2023-03-08,CUST-217,Consumer,South,Office Supplies,Appliances,210.00,1,0.00,48.00,Credit Card
ORD-1018,2023-03-12,CUST-218,Corporate,East,Technology,Phones,990.00,2,0.05,180.00,Credit Card
ORD-1019,2023-03-15,CUST-219,Consumer,West,Office Supplies,Paper,45.00,5,0.00,18.00,Debit Card
ORD-1020,2023-03-20,CUST-220,Home Office,Central,Furniture,Tables,1150.00,1,0.30,-150.00,Bank Transfer
ORD-1021,2023-03-24,CUST-221,Consumer,North,Electronics,Accessories,135.00,4,0.00,35.00,Credit Card
ORD-1022,2023-03-27,CUST-222,Corporate,South,Office Supplies,Binders,55.00,8,0.20,11.00,PayPal
ORD-1023,2023-04-02,CUST-223,Consumer,East,Technology,Monitors,560.00,2,0.10,92.00,Credit Card
ORD-1024,2023-04-06,CUST-224,Home Office,West,Furniture,Chairs,310.00,2,0.00,55.00,Credit Card
ORD-1025,2023-04-10,CUST-225,Corporate,Central,Electronics,Laptops,1650.00,1,0.05,280.00,Bank Transfer
ORD-1026,2023-04-15,CUST-226,Consumer,North,Office Supplies,Storage,140.00,3,0.00,38.00,Debit Card
ORD-1027,2023-04-18,CUST-227,Corporate,South,Technology,Phones,620.00,1,0.00,110.00,Credit Card
ORD-1028,2023-04-22,CUST-228,Consumer,East,Furniture,Bookcases,450.00,2,0.15,30.00,Credit Card
ORD-1029,2023-04-26,CUST-229,Home Office,West,Office Supplies,Paper,24.00,4,0.00,9.00,PayPal
