Customer_ID,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Internet_Service,Online_Security,Contract_Type,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn
CUST-7001,Female,0,Yes,No,1,No,DSL,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
CUST-7002,Male,0,No,No,34,Yes,DSL,Yes,One year,No,Mailed check,56.95,1889.50,No
CUST-7003,Male,0,No,No,2,Yes,DSL,Yes,Month-to-month,Yes,Mailed check,53.85,108.15,Yes
CUST-7004,Male,0,No,No,45,No,DSL,Yes,One year,No,Bank transfer,42.30,1840.75,No
CUST-7005,Female,0,No,No,2,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,70.70,151.65,Yes
CUST-7006,Female,0,No,No,8,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,99.65,820.50,Yes
CUST-7007,Male,0,No,Yes,22,Yes,Fiber optic,No,Month-to-month,Yes,Credit card,89.10,1949.40,No
CUST-7008,Female,0,No,No,10,No,DSL,Yes,Month-to-month,No,Mailed check,29.75,301.90,No
CUST-7009,Female,0,Yes,No,28,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,104.80,3046.05,Yes
CUST-7010,Male,0,No,Yes,62,Yes,DSL,Yes,One year,No,Bank transfer,56.15,3487.95,No
CUST-7011,Male,1,Yes,No,13,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,89.85,1164.35,No
CUST-7012,Male,0,No,No,16,Yes,No,No internet,Two year,No,Credit card,18.95,326.80,No
CUST-7013,Male,0,Yes,Yes,58,Yes,Fiber optic,No,One year,No,Credit card,100.35,5681.10,No
CUST-7014,Male,0,No,No,49,Yes,Fiber optic,No,Month-to-month,Yes,Bank transfer,103.70,5036.30,Yes
CUST-7015,Male,0,No,No,25,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,105.50,2686.05,No
CUST-7016,Female,0,Yes,Yes,69,Yes,Fiber optic,Yes,Two year,Yes,Credit card,113.25,7895.15,No
CUST-7017,Female,0,No,No,52,Yes,No,No internet,One year,No,Mailed check,20.65,1022.95,No
CUST-7018,Male,0,No,No,71,Yes,Fiber optic,Yes,Two year,No,Bank transfer,106.70,7382.25,No
CUST-7019,Female,0,Yes,Yes,10,Yes,DSL,No,Month-to-month,No,Credit card,55.20,528.35,Yes
CUST-7020,Female,0,No,No,21,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,90.05,1862.90,No
CUST-7021,Male,1,No,No,12,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,95.50,1112.50,Yes
CUST-7022,Male,0,Yes,No,12,Yes,No,No internet,One year,No,Bank transfer,19.80,202.25,No
CUST-7023,Female,0,No,No,1,Yes,No,No internet,Month-to-month,No,Mailed check,20.15,20.15,Yes
CUST-7024,Female,0,Yes,No,58,Yes,DSL,Yes,Two year,Yes,Credit card,59.90,3505.10,No
CUST-7025,Male,0,Yes,Yes,49,Yes,DSL,Yes,Month-to-month,No,Credit card,59.60,2970.30,No
CUST-7026,Male,0,No,No,30,Yes,DSL,Yes,Month-to-month,Yes,Bank transfer,55.30,1530.60,No
CUST-7027,Female,0,Yes,Yes,47,Yes,Fiber optic,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes
CUST-7028,Male,0,Yes,Yes,1,No,DSL,No,Month-to-month,No,Electronic check,30.20,30.20,Yes
CUST-7029,Male,0,Yes,No,72,Yes,DSL,Yes,Two year,Yes,Credit card,90.25,6369.45,No
CUST-7030,Female,0,No,Yes,17,Yes,DSL,No,Month-to-month,Yes,Mailed check,64.70,1093.10,Yes
CUST-7031,Female,1,Yes,No,71,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer,96.35,6766.95,No
CUST-7032,Male,1,Yes,No,2,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,95.50,181.65,Yes
CUST-7033,Female,0,No,No,27,Yes,DSL,Yes,One year,No,Mailed check,66.15,1874.45,No
CUST-7034,Male,0,No,No,1,Yes,No,No internet,Month-to-month,No,Bank transfer,20.20,20.20,No
CUST-7035,Male,0,No,No,1,Yes,DSL,No,Month-to-month,No,Bank transfer,45.25,45.25,No
CUST-7036,Female,0,No,No,72,Yes,Fiber optic,Yes,Two year,Yes,Bank transfer,99.90,7251.70,No
CUST-7037,Male,0,Yes,Yes,10,No,DSL,Yes,One year,No,Mailed check,45.25,447.80,No
CUST-7038,Female,0,No,No,46,Yes,Fiber optic,No,Month-to-month,Yes,Credit card,84.80,3903.15,No
CUST-7039,Male,0,No,No,34,Yes,DSL,Yes,One year,Yes,Mailed check,56.25,1736.20,Yes
CUST-7040,Female,0,No,No,11,Yes,Fiber optic,No,Month-to-month,Yes,Electronic check,94.20,973.10,Yes
